================================================================================
SEASON 1 - RIDER POSITION REPORT
Each rider's current position in the seasonal standings
================================================================================

Total Riders in Season 1 Standings: 2207

--------------------------------------------------------------------------------------------------------------
Position  Rider Name                    Team                ARR   Events  Points  Type
1606th    Maxime Picard                 Optech              1172  1       38      Bot
1607th    Sharmin Akter                 Titans              455   1       38      Bot
1608th    Kari Heiskanen                Independent         1149  1       38      Bot
1609th    Theresa Baptiste              Independent         467   1       38      Bot
1610th    Polina Mukasheva              Orbit               790   1       38      Bot
1611th    Nicolas Reyes                 Independent         1108  1       38      Bot
1612th    Tarek Khalil                  Independent         1150  1       38      Bot
1613th    Kelera Cakau                  Independent         792   1       38      Bot
1614th    Oskar Svensson                Saitama             469   1       38      Bot
1615th    Elsa Macias                   Orbit               812   1       38      Bot
1616th    Hala Al-Salem                 Independent         530   1       38      Bot
1617th    Louane Pereira                Independent         374   1       38      Bot
1618th    Mathys Aerts                  Fiber Shot          1097  1       38      Bot
1619th    Lea Arellano                  Independent         352   1       38      Bot
1620th    Aleksandar Banič              Independent         508   1       38      Bot
1621st    Lourdes Proctor               Independent         1154  1       38      Bot
1622nd    Iseul Ok                      Independent         935   1       38      Bot
1623rd    Steven Howe                   HP3                 100   1       38      Human
1624th    Hugo Villar                   Saitama             711   1       38      Bot
1625th    George Chetty                 Saitama             742   1       38      Bot
1626th    Marta Roman                   Independent         674   1       38      Bot
1627th    Christos Constantinou         Independent         561   1       38      Bot
1628th    Nikki Kamau                   Independent         967   1       38      Bot
1629th    Dorthy Schmitt                Independent         1059  1       38      Bot
1630th    Jovana Kostiuchenko           Independent         1142  1       38      Bot
1631st    Georges Lecomte               Independent         1182  1       38      Bot
1632nd    Milos Volny                   Independent         1079  1       38      Bot
1633rd    Luboslaw Wronski              HCOM                1011  1       38      Bot
1634th    Juan Carlos Rosendo           Capital             1059  1       38      Bot
1635th    Albin Isaksson                Fujikai             786   1       38      Bot
1636th    Anatoliy Romanyuk             Aria Olefson        933   2       38      Bot
1637th    Rocco Dal                     Independent         1053  2       38      Bot
1638th    Charity Powers                Saint               549   1       37      Bot
1639th    Bobae Eun                     Independent         669   1       37      Bot
1640th    Sofía Ferreyra                Independent         695   1       37      Bot
1641st    Bertha Gregory                Independent         940   1       37      Bot
1642nd    Edvin Peltola                 Independent         1085  1       37      Bot
1643rd    Carl Leduc                    Nuvio               1337  1       37      Bot
